184,189,185
188,190,187
189,191,188
191,193,188
193,194,189
194,195,190
194,195,192
194,194,192
196,196,194
196,196,194
195,197,194
197,197,195
196,196,194
197,197,195
198,198,196
198,198,196
199,199,197
199,199,197
199,199,197
199,199,197
198,198,196
197,197,195
197,197,195
196,196,194
194,194,192
191,191,189
183,183,181
170,169,165
156,156,148
143,140,133
128,123,117
120,116,107
121,114,108
121,114,108
120,113,107
119,115,106
117,113,104
117,113,104
118,114,105
116,112,103
118,114,105
116,112,103
116,112,103
116,112,103
115,110,104
114,109,103
112,108,99
113,106,98
110,101,94
107,98,89
102,94,83
98,85,76
94,80,67
88,73,61
18,20,19
14,16,17
15,17,16
18,19,21
21,22,24
21,22,24
21,22,24
22,23,25
22,23,25
23,24,28
25,26,30
24,28,31
27,31,34
28,32,35
29,33,36
32,36,39
32,36,39
31,35,38
33,37,40
33,38,39
32,38,38
33,37,40
32,36,39
32,36,39
33,37,40
34,38,41
33,37,40
33,38,41
33,38,41
34,39,42
33,38,41
33,38,41
34,39,42
34,39,43
34,39,42
35,40,44
37,42,46
36,41,44
33,38,42
35,40,44
35,40,44
36,41,45
34,39,43
36,40,43
35,39,42
35,39,42
187,189,186
189,191,188
190,192,187
192,194,189
193,194,189
194,194,192
195,195,193
196,196,194
195,197,194
196,196,194
196,196,194
197,197,195
196,196,194
197,197,195
198,198,196
197,199,196
199,199,197
199,199,197
199,199,197
199,199,197
199,199,197
198,198,196
197,197,195
196,196,194
194,194,192
186,186,184
176,176,174
165,164,159
150,150,142
137,134,127
129,122,116
120,116,107
122,115,107
121,114,108
120,116,107
121,114,108
118,114,105
117,113,104
118,114,105
115,111,102
118,114,105
116,112,103
116,112,103
116,112,103
115,110,104
114,109,103
112,108,99
111,104,96
109,102,94
104,95,86
100,91,82
96,86,76
90,79,65
77,70,54
19,20,22
15,16,18
15,17,16
16,17,19
17,18,20
20,21,25
20,21,25
22,23,25
20,21,23
23,22,27
23,24,28
25,27,30
26,30,33
28,32,35
31,32,36
33,37,40
34,39,42
34,39,42
33,37,40
33,37,40
32,38,38
31,35,38
31,35,38
34,38,41
34,38,41
33,37,40
33,37,40
34,39,42
35,40,44
38,43,47
37,42,46
36,41,45
35,40,44
34,39,43
34,39,43
35,40,44
37,42,46
36,41,45
34,39,43
34,39,43
35,40,44
35,39,42
34,38,41
37,41,44
35,39,42
34,38,41
186,188,185
188,190,187
189,191,188
192,194,189
194,195,190
194,196,193
197,197,195
196,196,194
197,197,195
197,197,195
197,197,195
179,181,176
195,195,193
198,198,196
199,199,197
199,199,197
198,198,196
199,199,197
199,199,197
199,199,197
200,200,198
198,198,196
198,199,194
196,197,192
191,192,187
181,182,177
170,171,166
162,161,156
150,147,142
137,131,125
126,119,113
121,116,108
121,117,108
119,115,106
120,116,107
121,114,106
120,113,105
118,114,105
120,113,105
118,111,105
116,112,103
117,113,104
116,112,103
116,112,103
117,112,106
114,109,103
113,109,100
111,104,96
109,102,94
104,95,86
100,91,82
94,84,74
89,77,62
52,48,46
20,20,22
17,17,19
15,15,17
15,15,17
16,16,18
18,18,20
18,19,21
18,19,21
20,21,23
23,22,27
23,23,28
27,29,33
26,30,33
29,33,36
33,37,40
36,40,43
35,39,42
34,38,41
32,36,39
29,33,36
29,33,36
34,38,41
32,36,39
34,38,41
33,38,41
34,39,42
32,37,40
33,38,41
38,42,45
37,41,44
36,41,44
36,41,44
36,41,44
34,39,43
35,40,44
36,41,45
36,41,45
35,40,44
35,40,44
34,39,42
34,39,42
35,40,43
34,39,42
33,38,41
33,38,41
34,39,42
167,169,164
148,150,145
171,172,167
182,184,180
191,192,187
193,195,192
195,197,194
197,197,195
196,196,194
198,198,196
168,168,166
39,38,36
169,169,167
196,196,194
200,200,198
197,199,197
199,199,197
198,199,194
199,199,197
199,199,197
200,200,198
199,199,197
198,198,196
193,194,189
187,188,183
178,179,174
168,169,164
156,155,150
146,145,138
134,129,123
125,118,112
119,115,104
120,116,105
121,117,108
122,115,107
122,113,106
122,115,107
118,114,105
120,112,104
121,114,106
121,114,106
118,114,105
119,115,106
117,113,104
112,107,101
114,111,104
111,107,98
114,107,99
112,103,96
107,98,89
98,90,79
94,84,73
71,65,59
22,22,24
21,21,23
19,19,21
17,17,19
15,15,17
16,16,18
16,16,18
18,19,21
18,19,21
20,21,23
22,23,27
25,26,30
26,28,31
26,30,33
28,32,35
31,35,38
33,35,39
34,37,40
32,36,39
28,32,35
28,32,35
31,35,38
32,36,39
33,37,40
34,39,42
34,39,42
34,39,42
35,40,43
33,38,41
36,38,42
40,43,46
36,40,43
38,41,44
36,41,44
35,40,44
34,39,43
35,40,44
34,39,43
34,39,43
36,41,45
35,40,43
36,41,44
34,39,42
35,40,43
34,39,42
32,37,40
35,40,43
99,88,77
101,94,83
102,94,85
106,102,91
120,118,107
139,136,128
166,166,160
189,191,186
197,197,194
197,198,194
159,160,156
29,29,31
136,136,133
195,197,192
173,158,149
150,113,107
165,136,129
179,164,160
199,197,194
200,200,198
201,201,199
200,200,198
197,197,195
192,193,188
181,182,177
175,174,170
166,165,160
153,153,147
141,138,132
131,127,119
122,118,109
120,118,106
122,119,109
122,118,109
122,115,108
120,113,106
121,114,106
120,113,105
118,114,105
119,112,104
118,111,103
120,113,107
120,116,107
119,114,107
115,110,104
114,111,104
115,110,104
114,107,101
112,103,94
105,96,87
98,90,79
47,44,38
23,23,25
22,24,23
19,20,22
16,18,17
15,15,17
16,16,16
17,17,19
17,17,19
17,17,19
18,19,21
21,22,24
22,23,25
24,25,29
26,27,31
28,32,35
30,34,37
30,34,37
28,33,36
26,31,34
31,35,38
28,32,35
27,31,34
28,32,35
32,36,39
34,39,42
34,39,42
34,39,42
34,39,42
36,41,44
33,38,42
35,40,43
38,42,45
38,41,46
36,39,44
33,38,42
33,38,42
34,39,43
34,39,43
33,38,41
36,41,44
34,39,43
34,39,42
35,40,43
34,39,42
37,42,45
36,40,43
35,39,42
33,38,41
130,108,87
127,107,86
122,104,86
117,99,82
110,90,76
105,87,74
101,87,74
101,91,81
110,104,95
119,119,112
105,103,99
71,71,69
101,100,95
119,112,105
118,88,75
129,85,74
118,61,55
123,69,64
133,87,81
148,128,121
178,176,170
187,188,182
185,185,180
167,165,159
172,171,166
170,170,164
162,162,156
149,146,139
137,133,124
131,126,114
100,94,82
94,91,79
104,101,91
128,123,115
122,115,107
121,113,106
124,115,108
120,113,105
121,115,106
120,114,106
120,113,106
121,114,108
121,115,108
118,113,107
118,113,107
115,111,105
116,111,105
113,107,101
109,101,95
103,95,87
96,88,78
26,25,23
21,21,23
17,17,17
16,16,18
16,17,18
16,16,18
17,17,19
17,18,19
17,18,20
17,18,20
19,20,22
20,21,23
20,21,23
23,24,27
24,25,30
27,28,32
28,30,34
27,29,32
26,31,34
28,32,35
26,30,33
30,32,35
30,32,36
30,34,37
33,38,41
33,38,41
34,39,42
35,40,43
34,38,41
36,40,43
34,39,42
37,41,44
36,40,43
38,41,45
35,39,43
33,37,40
33,38,41
35,40,44
34,39,43
35,40,44
34,39,42
34,39,43
35,40,43
35,40,43
36,41,44
36,41,44
35,40,43
35,40,43
32,37,40
137,111,89
138,111,92
137,110,91
138,110,92
139,113,94
137,113,93
131,110,92
127,109,92
89,79,69
142,138,132
189,189,186
192,193,190
154,154,151
182,181,174
165,161,157
144,136,132
129,116,105
109,95,82
118,97,85
143,119,106
140,120,105
141,120,108
141,122,112
