133,124,47
122,98,53
37,24,6
109,99,79
149,139,111
65,40,16
97,121,60
88,90,42
111,138,53
95,124,78
101,106,22
107,111,30
105,150,106
137,171,34
116,141,39
74,157,223
102,106,86
168,81,97
91,79,31
125,77,53
108,114,86
122,122,117
97,93,72
106,92,63
165,122,32
102,92,26
160,126,60
136,107,49
145,127,44
98,78,41
126,104,70
131,108,73
94,62,11
110,80,25
92,69,34
83,76,38
89,80,41
70,66,34
51,43,24
60,49,29
111,105,85
145,121,87
72,53,30
120,101,74
99,75,40
117,105,63
87,86,40
112,110,95
118,114,97
123,119,100
144,112,10
124,128,68
74,93,64
69,78,57
131,31,44
97,114,93
141,105,76
146,165,175
58,94,41
116,95,17
148,103,13
139,145,126
159,96,106
103,141,84
179,155,124
120,123,92
129,98,88
117,124,90
150,151,61
81,97,76
116,124,66
116,124,64
100,91,77
80,112,135
125,111,83
112,146,123
194,177,128
110,99,83
155,123,61
169,138,62
96,75,46
66,76,41
145,126,88
147,127,88
155,124,85
82,103,81
195,162,157
61,68,43
61,51,35
143,118,45
123,53,101
137,118,58
110,105,58
80,70,56
128,89,42
108,91,60
139,101,76
186,163,144
114,112,113
66,61,59
49,37,42
165,147,12
189,149,12
91,115,125
184,145,4
188,144,6
221,160,10
150,137,120
28,84,138
114,126,124
22,93,146
70,73,68
82,88,74
118,126,74
178,141,37
162,142,45
155,126,28
174,151,38
103,103,68
159,164,63
172,141,36
134,135,116
96,92,80
126,76,105
142,134,140
97,100,98
90,78,68
156,114,75
207,49,90
99,90,76
216,121,127
182,64,14
130,129,21
108,98,70
105,101,80
105,86,77
157,137,32
191,143,129
69,113,63
129,121,102
196,158,153
192,141,1
135,132,92
94,100,93
146,112,101
128,31,26
148,138,78
144,121,23
163,147,150
73,66,33
129,123,122
140,130,115
66,28,22
160,160,160
101,79,77
137,96,103
96,84,58
167,65,149
102,103,84
86,72,69
81,72,65
73,68,63
53,48,49
80,64,55
81,70,64
154,107,52
177,187,192
50,43,34
180,171,160
164,102,92
133,97,73
113,81,79
158,123,119
175,162,163
80,63,66
123,131,95
155,124,86
142,122,74
182,132,142
115,116,104
111,112,80
180,124,20
95,110,36
93,96,49
75,88,38
178,47,61
49,120,22
88,88,88
66,70,32
128,132,84
152,135,75
225,232,225
89,100,89
58,52,55
91,69,6
172,152,17
65,46,1
71,69,40
107,92,69
77,63,51
88,83,53
55,65,31
103,101,100
64,107,117
196,175,100
109,124,77
102,107,64
54,51,22
118,99,82
95,96,71
94,108,65
155,137,115
14,14,14
129,109,1
122,104,87
238,171,147
71,80,41
66,72,13
160,90,36
79,92,25
157,125,104
120,111,57
103,95,80
112,94,21
136,149,171
122,105,5
133,118,15
148,112,20
50,50,50
78,101,59
119,105,92
63,63,63
110,110,110
113,115,111
68,67,43
96,112,61
103,121,66
184,128,25
106,111,13
100,100,88
134,115,42
153,127,60
166,155,96
162,163,84
179,168,124
156,151,102
116,110,48
96,102,61
113,120,89
114,107,62
92,87,79
47,55,56
112,131,72
94,150,60
83,115,50
150,106,108
96,102,69
97,100,98
84,81,90
154,89,106
144,144,148
78,92,48
95,107,71
